t_s,true_tank_level_m,reported_tank_level_m,independent_level_m,true_source_level_m,true_inflow_m3_s,true_outflow_m3_s,demand_m3_s,service_shortfall_ratio,spill_volume_m3,pump_energised,pump_permitted,valve_position,requested_setpoint_m,effective_setpoint_m,supervisory_available,consequence_level,violated_invariants
62.500000,3.018065,3.018000,3.030000,6.000000,0.000000,0.035251,0.035251,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
63.000000,3.016541,3.023000,3.020000,6.000000,0.000000,0.036572,0.036572,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
63.500000,3.015172,3.016000,3.020000,6.000000,0.000000,0.032859,0.032859,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
64.000000,3.013779,3.020000,3.010000,6.000000,0.000000,0.033420,0.033420,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
64.500000,3.012213,3.002000,3.010000,6.000000,0.000000,0.037579,0.037579,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
65.000000,3.010772,3.011000,3.010000,6.000000,0.000000,0.034583,0.034583,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
65.500000,3.009220,3.008000,3.010000,6.000000,0.000000,0.037255,0.037255,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
66.000000,3.007864,3.004000,3.010000,6.000000,0.000000,0.032544,0.032544,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
66.500000,3.006329,2.999000,3.020000,6.000000,0.000000,0.036851,0.036851,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
67.000000,3.004885,2.996000,3.000000,6.000000,0.000000,0.034654,0.034654,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
67.500000,3.003391,2.997000,3.000000,6.000000,0.000000,0.035847,0.035847,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
68.000000,3.002017,3.000000,3.010000,6.000000,0.000000,0.032977,0.032977,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
68.500000,3.000704,2.994000,3.010000,6.000000,0.000000,0.031519,0.031519,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
69.000000,2.999185,2.998000,2.980000,6.000000,0.000000,0.036449,0.036449,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
69.500000,2.997643,2.992000,2.990000,6.000000,0.000000,0.037015,0.037015,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
70.000000,2.996172,2.990000,2.990000,6.000000,0.000000,0.035312,0.035312,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
70.500000,2.994811,2.992000,2.990000,6.000000,0.000000,0.032661,0.032661,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
71.000000,2.993462,2.991000,2.990000,6.000000,0.000000,0.032370,0.032370,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
71.500000,2.992005,2.993000,3.000000,6.000000,0.000000,0.034957,0.034957,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
72.000000,2.990620,3.001000,2.980000,6.000000,0.000000,0.033253,0.033253,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
72.500000,2.989030,2.996000,2.990000,6.000000,0.000000,0.038156,0.038156,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
