experiment_id,t_s,requested_setpoint_m,effective_setpoint_m,backstop_decision,pump_command,pump_permitted,pump_energised,valve_position,true_tank_level_m
EXP-SCN004-backstop-enabled-41fa58ff,36.500000,3.200000,3.200000,PASS,0,0,0,1.000000,3.092345
EXP-SCN004-backstop-enabled-41fa58ff,37.000000,3.200000,3.200000,PASS,0,0,0,1.000000,3.090827
EXP-SCN004-backstop-enabled-41fa58ff,37.500000,3.200000,3.200000,PASS,0,0,0,1.000000,3.089327
EXP-SCN004-backstop-enabled-41fa58ff,38.000000,3.200000,3.200000,PASS,0,0,0,1.000000,3.087999
EXP-SCN004-backstop-enabled-41fa58ff,38.500000,3.200000,3.200000,PASS,0,0,0,1.000000,3.086498
EXP-SCN004-backstop-enabled-41fa58ff,39.000000,3.200000,3.200000,PASS,0,0,0,1.000000,3.085108
EXP-SCN004-backstop-enabled-41fa58ff,39.500000,3.200000,3.200000,PASS,0,0,0,1.000000,3.083582
EXP-SCN004-backstop-enabled-41fa58ff,40.000000,3.200000,3.200000,PASS,0,0,0,1.000000,3.082072
EXP-SCN004-backstop-enabled-41fa58ff,40.500000,3.200000,3.200000,PASS,0,0,0,1.000000,3.080686
EXP-SCN004-backstop-enabled-41fa58ff,41.000000,3.200000,3.200000,PASS,0,0,0,1.000000,3.079160
EXP-SCN004-backstop-enabled-41fa58ff,41.500000,3.200000,3.200000,PASS,0,0,0,1.000000,3.077749
EXP-SCN004-backstop-enabled-41fa58ff,42.000000,3.200000,3.200000,PASS,0,0,0,1.000000,3.076371
EXP-SCN004-backstop-enabled-41fa58ff,42.500000,3.200000,3.200000,PASS,0,0,0,1.000000,3.074906
EXP-SCN004-backstop-enabled-41fa58ff,43.000000,3.200000,3.200000,PASS,0,0,0,1.000000,3.073564
EXP-SCN004-backstop-enabled-41fa58ff,43.500000,3.200000,3.200000,PASS,0,0,0,1.000000,3.072167
EXP-SCN004-backstop-enabled-41fa58ff,44.000000,3.200000,3.200000,PASS,0,0,0,1.000000,3.070624
