t_s,true_tank_level_m,reported_tank_level_m,independent_level_m,true_source_level_m,true_inflow_m3_s,true_outflow_m3_s,demand_m3_s,service_shortfall_ratio,spill_volume_m3,pump_energised,pump_permitted,valve_position,requested_setpoint_m,effective_setpoint_m,supervisory_available,consequence_level,violated_invariants
63.500000,3.014257,3.008000,3.010000,6.000000,0.000000,0.032642,0.032642,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
64.000000,3.012923,3.012000,3.020000,6.000000,0.000000,0.032030,0.032030,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
64.500000,3.011462,3.012000,3.010000,6.000000,0.000000,0.035061,0.035061,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
65.000000,3.009921,3.017000,3.030000,6.000000,0.000000,0.036978,0.036978,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
65.500000,3.008436,3.004000,3.020000,6.000000,0.000000,0.035647,0.035647,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
66.000000,3.007061,3.007000,3.020000,6.000000,0.000000,0.033002,0.033002,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
66.500000,3.005611,2.997000,3.020000,6.000000,0.000000,0.034796,0.034796,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
67.000000,3.004185,3.005000,3.000000,6.000000,0.000000,0.034230,0.034230,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
67.500000,3.002654,3.002000,3.000000,6.000000,0.000000,0.036744,0.036744,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
68.000000,3.001162,2.994000,3.000000,6.000000,0.000000,0.035789,0.035789,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
68.500000,2.999593,2.994000,3.020000,6.000000,0.000000,0.037669,0.037669,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
69.000000,2.998207,2.990000,2.990000,6.000000,0.000000,0.033270,0.033270,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
69.500000,2.996847,2.994000,3.010000,6.000000,0.000000,0.032639,0.032639,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
70.000000,2.995329,2.994000,3.000000,6.000000,0.000000,0.036417,0.036417,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
70.500000,2.993793,2.994000,3.010000,6.000000,0.000000,0.036862,0.036862,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
71.000000,2.992238,2.982000,2.990000,6.000000,0.000000,0.037321,0.037321,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
71.500000,2.990779,2.990000,3.000000,6.000000,0.000000,0.035014,0.035014,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
72.000000,2.989244,2.983000,2.990000,6.000000,0.000000,0.036842,0.036842,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
72.500000,2.987755,2.995000,2.990000,6.000000,0.000000,0.035734,0.035734,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
73.000000,2.986387,2.990000,2.980000,6.000000,0.000000,0.032848,0.032848,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
73.500000,2.985019,2.989000,3.000000,6.000000,0.000000,0.032829,0.032829,0.000000,0.000000,0,0,1.000000,3.200000,3.200000,1,C0,
